type,ngram,frequency
"bigram","یں","4322"
"bigram","ُو","4136"
"bigram","اں","3318"
"bigram","ھی","2244"
"bigram","ن٘","2232"
"bigram","یا","2195"
"bigram","لا","2118"
"bigram","َی","2082"
"bigram","ان","2072"
"bigram","تھ","2021"
"bigram","ھو","1893"
"bigram","ال","1824"
"bigram","مہ","1805"
"bigram","تُ","1796"
"bigram","یۡ","1684"
"bigram","ری","1651"
"bigram","ُھ","1628"
"bigram","لی","1475"
"bigram","ما","1382"
"bigram","وا","1338"
"bigram","وں","1322"
"bigram","کر","1282"
"bigram","نہ","1241"
"bigram","ںم","1210"
"bigram","لہ","1186"
"bigram","سی","1186"
"bigram","ام","1157"
"bigram","ہو","1147"
"bigram","ںت","1126"
"bigram","ہُ","1122"
"bigram","آں","1106"
"bigram","ؤں","1106"
"bigram","ار","1099"
"bigram","نی","1025"
"bigram","را","1014"
"bigram","اس","962"
"bigram","و۔","942"
"bigram","ئی","936"
"bigram","یل","911"
"bigram","کھ","892"
"bigram","ات","840"
"bigram","چے","828"
"bigram","کا","827"
"bigram","ںا","819"
"bigram","ہۡ","816"
"bigram","ںک","795"
"bigram","ہا","775"
"bigram","یم","773"
"bigram","یت","765"
"bigram","تی","761"
"bigram","ور","732"
"bigram","ای","722"
"bigram","با","713"
"bigram","ون","710"
"bigram","مُ","702"
"bigram","ہم","701"
"bigram","ِن","699"
"bigram","نا","696"
"bigram","رہ","688"
"bigram","دی","684"
"bigram","ھا","678"
"bigram","اک","662"
"bigram","ںب","645"
"bigram","ین","644"
"bigram","تا","643"
"bigram","یک","643"
"bigram","وت","635"
"bigram","ول","621"
"bigram","وئ","619"
"bigram","لک","613"
"bigram","یہ","599"
"bigram","ہِ","596"
"bigram","کم","584"
"bigram","ںن","578"
"bigram","یر","575"
"bigram","ائ","573"
"bigram","تے","568"
"bigram","عل","540"
"bigram","دُ","540"
"bigram","ی۔","531"
"bigram","سو","523"
"bigram","گی","516"
"bigram","تس","512"
"bigram","می","508"
"bigram","ِل","508"
"bigram","پا","507"
"bigram","یو","502"
"bigram","ںہ","502"
"bigram","سا","501"
"bigram","٘د","497"
"bigram","ہت","496"
"bigram","ھہ","492"
"bigram","اب","477"
"bigram","دا","476"
"bigram","سم","465"
"bigram","کی","449"
"bigram","ںد","440"
"bigram","تہ","437"
"bigram","ںس","433"
"bigram","اد","431"
"bigram","وۡ","425"
"bigram","اُ","421"
"bigram","رت","421"
"bigram","ںپ","416"
"bigram","مِ","415"
"bigram","ئت","414"
"bigram","ِی","413"
"bigram","ݜُ","410"
"bigram","بن","409"
"bigram","ہر","409"
"bigram","بی","409"
"bigram","لے","408"
"bigram","٘س","405"
"bigram","گا","403"
"bigram","ہہ","400"
"bigram","وی","399"
"bigram","لو","397"
"bigram","او","395"
"bigram","مل","391"
"bigram","رو","391"
"bigram","ست","376"
"bigram","بِ","371"
"bigram","لم","369"
"bigram","ِو","367"
"bigram","گل","366"
"bigram","ھُ","365"
"bigram","ںو","362"
"bigram","ہب","362"
"bigram","بُ","362"
"bigram","یُ","353"
"bigram","ےا","351"
"bigram","چھ","351"
"bigram","گھ","350"
"bigram","ںل","349"
"bigram","اې","348"
"bigram","ُم","346"
"bigram","یی","346"
"bigram","وَ","344"
"bigram","کہ","342"
"bigram","ےت","339"
"bigram","شا","338"
"bigram","وک","337"
"bigram","وم","336"
"bigram","ُک","331"
"bigram","سُ","330"
"bigram","ںگ","324"
"bigram","ۡت","323"
"bigram","کِ","322"
"bigram","ہپ","320"
"bigram","تَ","320"
"bigram","سل","319"
"bigram","ِر","319"
"bigram","من","314"
"bigram","٘گ","310"
"bigram","مت","309"
"bigram","ہن","305"
"bigram","قا","304"
"bigram","آن","301"
"bigram","اݜ","301"
"bigram","دہ","300"
"bigram","مر","299"
"bigram","ڇھ","297"
"bigram","وہ","288"
"bigram","نِ","288"
"bigram","ہس","287"
"bigram","ہک","287"
"bigram","خل","286"
"bigram","ند","285"
"bigram","اہ","282"
"bigram","یس","282"
"bigram","اِ","281"
"bigram","وس","281"
"bigram","ید","280"
"bigram","رَ","277"
"bigram","ہچ","277"
"bigram","ھر","273"
"bigram","ۡک","273"
"bigram","اَ","272"
"bigram","ںی","271"
"bigram","ےم","271"
"bigram","اگ","271"
"bigram","تل","270"
"bigram","ےب","269"
"bigram","ېل","269"
"bigram","رؤ","264"
"bigram","یب","264"
"bigram","تع","261"
"bigram","لل","259"
"bigram","وب","259"
"bigram","بل","257"
"bigram","پُ","255"
"bigram","خت","255"
"bigram","بھ","254"
"bigram","کو","253"
"bigram","نت","252"
"bigram","ُن","252"
"bigram","زا","251"
"bigram","ېں","251"
"bigram","از","248"
"bigram","ٹی","248"
"trigram","َیں","1877"
"trigram","ُھو","1484"
"trigram","تُھ","1386"
"trigram","تھی","970"
"trigram","ہُو","904"
"trigram","ان٘","686"
"trigram","ھو۔","651"
"trigram","یاں","625"
"trigram","ھیں","599"
"trigram","کھی","543"
"trigram","ُوئ","504"
"trigram","ن٘د","497"
"trigram","ئیں","486"
"trigram","سیں","482"
"trigram","ریۡ","469"
"trigram","ہِن","465"
"trigram","ُون","452"
"trigram","ھی۔","451"
"trigram","ُوں","450"
"trigram","ںتھ","428"
"trigram","اںت","428"
"trigram","لیۡ","428"
"trigram","واں","421"
"trigram","ݜُو","409"
"trigram","ن٘س","405"
"trigram","تھہ","400"
"trigram","اسی","380"
"trigram","یںم","373"
"trigram","دُو","361"
"trigram","ریا","356"
"trigram","اںک","353"
"trigram","یُو","350"
"trigram","ہوت","333"
"trigram","ںمہ","327"
"trigram","تاں","326"
"trigram","یںت","321"
"trigram","ھُو","321"
"trigram","ون٘","321"
"trigram","ناں","311"
"trigram","ن٘گ","309"
"trigram","وئت","308"
"trigram","تھو","297"
"trigram","ایک","294"
"trigram","تھُ","292"
"trigram","وَی","287"
"trigram","تسی","285"
"trigram","یںا","281"
"trigram","ںنہ","281"
"trigram","یںک","280"
"trigram","انی","274"
"trigram","اںم","272"
"trigram","یںب","268"
"trigram","ِوا","264"
"trigram","راں","262"
"trigram","اری","258"
"trigram","کیر","255"
"trigram","ُور","253"
"trigram","وان","252"
"trigram","مال","251"
"trigram","وتھ","247"
"trigram","آن٘","247"
"trigram","یںہ","246"
"trigram","لام","245"
"trigram","رؤں","242"
"trigram","اُو","241"
"trigram","اما","241"
"trigram","ںیا","240"
"trigram","یتھ","238"
"trigram","تَی","237"
"trigram","الا","236"
"trigram","مُو","233"
"trigram","ماݜ","231"
"trigram","ماں","231"
"trigram","یلا","231"
"trigram","لاں","230"
"trigram","کری","229"
"trigram","علا","227"
"trigram","وتُ","227"
"trigram","تُو","226"
"trigram","وںم","224"
"trigram","رَی","223"
"trigram","یوں","223"
"trigram","ُو۔","223"
"trigram","ہمہ","222"
"trigram","یۡت","221"
"trigram","الل","215"
"trigram","کرا","215"
"trigram","یمہ","212"
"trigram","ھال","209"
"trigram","یںی","209"
"trigram","یری","209"
"trigram","خلک","207"
"trigram","للہ","205"
"trigram","پاک","205"
"trigram","یتُ","204"
"trigram","مِل","204"
"trigram","اںا","203"
"trigram","ںلا","199"
"trigram","ن٘ڑ","198"
"trigram","ن٘ل","197"
"trigram","کِر","197"
"trigram","گلے","197"
"trigram","ییا","197"
"trigram","ھہ۔","195"
"trigram","ئتُ","195"
"trigram","ںکِ","195"
"trigram","اںب","193"
"trigram","علی","193"
"trigram","اںد","193"
"trigram","الی","192"
"trigram","ینہ","192"
"trigram","ئتھ","191"
"trigram","ِلی","190"
"trigram","مُت","189"
"trigram","یہو","187"
"trigram","یںن","186"
"trigram","نَی","184"
"trigram","ؤںم","184"
"trigram","یلی","183"
"trigram","نیہ","183"
"trigram","کؤں","181"
"trigram","چھی","180"
"trigram","بان","179"
"trigram","ںکر","179"
"trigram","اتُ","178"
"trigram","آںا","176"
"trigram","ہُم","175"
"trigram","وںت","174"
"trigram","یان","174"
"trigram","ران","173"
"trigram","ویں","173"
"trigram","گتہ","173"
"trigram","یںو","172"
"trigram","وئی","171"
"trigram","مہا","170"
"trigram","ہپا","170"
"trigram","ِیں","169"
"trigram","لُو","167"
"trigram","اتھ","166"
"trigram","الہ","165"
"trigram","مہو","162"
"trigram","بال","162"
"trigram","چےۡ","162"
"trigram","سان","161"
"trigram","یۡ۔","161"
"trigram","ُوی","161"
"trigram","سلا","160"
"trigram","کمہ","160"
"trigram","ن٘ز","159"
"trigram","ُوٹ","159"
"trigram","وجہ","157"
"trigram","ںہِ","157"
"trigram","انا","157"
"trigram","لیہ","156"
"trigram","کاں","156"
"trigram","ۡکھ","156"
"trigram","نِو","156"
"trigram","یںد","156"
"trigram","ِری","155"
"trigram","کرؤ","154"
"trigram","لیم","153"
"trigram","بُٹ","153"
"trigram","یںس","153"
"trigram","ںبا","152"
"trigram","یۡک","152"
"trigram","مَی","152"
"trigram","ہوں","150"
"trigram","یال","150"
"trigram","اېک","147"
"trigram","سیم","147"
"trigram","یہُ","146"
"trigram","است","145"
"trigram","تیا","144"
"trigram","مان","142"
"trigram","بُو","142"
"trigram","کرہ","142"
"trigram","یںگ","141"
"trigram","پُو","140"
"trigram","ملی","140"
"trigram","کار","140"
"trigram","اںپ","139"
"trigram","مہت","139"
"trigram","سمہ","137"
"trigram","ارت","137"
"trigram","کال","136"
"trigram","ہلا","135"
"trigram","ںمُ","135"
"trigram","ُوت","135"
"trigram","یںپ","135"
"trigram","وال","134"
"trigram","ۡتھ","134"
"trigram","کرے","133"
"trigram","لَی","133"
"trigram","ںاس","133"
"trigram","سیۡ","130"
"trigram","کام","130"
"trigram","بنا","130"
"trigram","ڇھی","129"
"trigram","اسم","128"
"trigram","ُوگ","128"
