normalized_form,source_variants,variant_frequencies,total_frequency
"اَیں","اَيں","3","3"
"حضورِؐ","حضورِؐ","2","2"
"مکَّیں","مکَّیں","1","1"
"خڑچُّو","خڑچُّو","1","1"
"یا","يا","1","1"
"طریقه","طريقه","1","1"
"مدینہ","مدینة","1","1"
"رسولِؐ","رسولِؐ","1","1"
"ہڑپُّو","ہڑپُّو","1","1"
"څرپُّو","څرپُّو","1","1"
"سورہ","سورة","1","1"
"لاپقُّو","لاپقُّو","1","1"
"الصلوہ","الصلوة","1","1"
"محمَّد","محمَّد","1","1"
"التَّحِیَّاتاں","التَّحِیَّاتاں","1","1"
"التَّحِیَّات","التَّحِیَّات","1","1"
"عُمرَؓیں","عُمرَؓیں","1","1"
"سمُّوں","سمُّوں","1","1"
