rank,word,frequency
"1","تُھو","1252"
"2","مہ","1247"
"3","آں","1102"
"4","نہ","906"
"5","تھی","832"
"6","لا","724"
"7","چے","660"
"8","تے","483"
"9","کھیں","474"
"10","ہِن","457"
"11","نی","444"
"12","تھہ","373"
"13","یاں","364"
"14","ݜُو","359"
"15","سو","357"
"16","ہو","343"
"17","یا","295"
"18","ہُوئ","289"
"19","تھُو","287"
"20","ایک","286"
"21","تھو","286"
"22","گی","250"
"23","تاں","241"
"24","واں","223"
"25","اسیں","196"
"26","مژ","191"
"27","اُو","190"
"28","ہُم","175"
"29","گتہ","173"
"30","اسی","162"
"31","تسیں","162"
"32","چےۡ","162"
"33","اللہ","158"
"34","وَیں","156"
"35","ہر","154"
"36","چو","153"
"37","آن٘س","149"
"38","کیریۡ","148"
"39","ہوں","147"
"40","ݜے","146"
"41","گلے","144"
"42","وے","144"
"43","بے","139"
"44","ݜس","138"
"45","اېک","138"
"46","چھی","138"
"47","مُت","135"
"48","لہ","135"
"49","کرؤں","131"
"50","تل","130"
"51","بال","130"
"52","کِریا","130"
"53","کرے","127"
"54","نِوان٘ز","126"
"55","کم","125"
"56","کؤں","122"
"57","وجہۡ","121"
"58","کریا","119"
"59","دُو","116"
"60","تسی","115"
"61","ای","113"
"62","کام","107"
"63","علاج","105"
"64","کرَیں","104"
"65","یی","104"
"66","بناں","101"
"67","علیہ","100"
"68","تسے","100"
"69","نبی","100"
"70","بانیۡ","98"
"71","ولے","97"
"72","اېں","96"
"73","تُو","95"
"74","چئ","94"
"75","دن","94"
"76","تَیں","93"
"77","مِیں","93"
"78","کرہ","93"
"79","اَس","90"
"80","ملی","89"
"81","پکار","87"
"82","میں","86"
"83","مِلیۡ","86"
"84","دی","85"
"85","اس","83"
"86","اے","83"
"87","اک","82"
"88","کلہۡ","82"
"89","کہ","82"
"90","ماݜ","81"
"91","بِگ","80"
"92","استعمال","80"
"93","ہوتھی","80"
"94","کراں","79"
"95","ہُو","78"
"96","خلکہ","77"
"97","ہوتُھو","76"
"98","تس","76"
"99","چہ","75"
"100","ایں","74"
"101","بئ","74"
"102","خو","73"
"103","بُٹ","72"
"104","ڇا","72"
"105","تُس","71"
"106","سیں","71"
"107","شاناں","70"
"108","پھت","70"
"109","کمہۡ","69"
"110","او","68"
"111","بلی","68"
"112","دیس","68"
"113","نَیں","68"
"114","زئ","66"
"115","ݜَیں","66"
"116","آن٘سیۡ","64"
"117","پاک","64"
"118","گِشے","62"
"119","ختم","62"
"120","پتَیں","61"
"121","گے","60"
"122","وخ","60"
"123","پاکے","59"
"124","اېوں","59"
"125","سیوں","57"
"126","سم","56"
"127","دَن","55"
"128","ہویں","55"
"129","اوک","54"
"130","کِراں","54"
"131","اما","54"
"132","څیز","52"
"133","می","52"
"134","کاں","52"
"135","سَیں","52"
"136","خاص","51"
"137","کری","51"
"138","اِواں","50"
"139","تئیں","50"
"140","څاں","50"
"141","یان٘س","50"
"142","کیر","50"
"143","لازمی","50"
"144","قانُون","49"
"145","مقامی","49"
"146","اسے","49"
"147","تیں","47"
"148","سِوَیں","47"
"149","والا","46"
"150","بارہ","46"
"151","پاتُو","46"
"152","ہِلاک","46"
"153","آژ","46"
"154","وار","45"
"155","دھا","45"
"156","بھا","44"
"157","اماں","44"
"158","ہُون٘دیۡ","44"
"159","حضرت","44"
"160","ہُویں","43"
"161","ہاریۡ","43"
"162","زَیں","43"
"163","سېوں","43"
"164","مٹی","43"
"165","وختہ","42"
"166","شروع","42"
"167","پاکاں","42"
"168","مال","42"
"169","تلہ","42"
"170","سِواں","42"
"171","تعلیم","41"
"172","خلکؤں","41"
"173","چور","40"
"174","کرئیں","40"
"175","اِوَیں","40"
"176","امَیں","40"
"177","دے","40"
"178","حق","38"
"179","خلکوں","38"
"180","اڅھک","38"
"181","پیدا","38"
"182","دُنئ","38"
"183","کال","37"
"184","ہُون٘دوۡ","37"
"185","ہیُو","37"
"186","ماسمہ","36"
"187","بِڅَیں","36"
"188","سُگائ","36"
"189","ہُون٘دُوں","36"
"190","ہُوئیں","35"
"191","عمل","35"
"192","زاں","35"
"193","دڑ","34"
"194","لک","34"
"195","ملا","33"
"196","گِنہۡ","33"
"197","حُکُم","33"
"198","عام","33"
"199","اگار","33"
"200","ملیۡ","33"
"201","وختی","33"
"202","ہا","32"
"203","گازریۡ","32"
"204","لُوں","32"
"205","مے","32"
"206","ہی","32"
"207","مِلی","32"
"208","ہاں","32"
"209","ہتہۡ","32"
"210","پُور","31"
"211","بن","31"
"212","تی","31"
"213","ہُوگے","31"
"214","اَیں","30"
"215","سخ","30"
"216","علم","30"
"217","کالہ","30"
"218","دُنَیں","30"
"219","بُوئ","30"
"220","بُٹؤں","30"
"221","ہُوگا","30"
"222","بنہ","30"
"223","کېر","30"
"224","حاصل","29"
"225","مالَیں","29"
"226","ماݜاں","29"
"227","شُو","29"
"228","گولہ","29"
"229","رال","29"
"230","روان","29"
"231","فرض","29"
"232","لیل","29"
"233","حُکمہ","29"
"234","کرا","29"
"235","ݜتُک","29"
"236","جمع","28"
"237","دِتیۡ","28"
"238","بِڅاں","28"
"239","زائ","28"
"240","بھئ","28"
"241","سېں","28"
"242","بان","28"
"243","نا","28"
"244","انشاءاللہ","27"
"245","بِتُس","27"
"246","نؤں","27"
"247","گا","27"
"248","دین","27"
"249","پان٘د","27"
"250","ادُوس","27"
"251","طور","26"
"252","کر","26"
"253","دُور","26"
"254","رڇھؤں","26"
"255","ترقی","26"
"256","بیماری","26"
"257","بدل","26"
"258","کوستاں","26"
"259","شریۡ","26"
"260","دېں","26"
"261","مُتیۡ","26"
"262","انسان","25"
"263","پو","25"
"264","فائدہ","25"
"265","ݜِݜ","25"
"266","سنت","25"
"267","من٘ڑنئ","25"
"268","ہریۡ","25"
"269","قِسمہ","25"
"270","چھا","25"
"271","ایلیۡ","25"
"272","اڅھکاݜ","25"
"273","څئی","24"
"274","وجہ","24"
"275","بھاں","24"
"276","ناں","24"
"277","سئیں","24"
"278","ہسانی","24"
"279","رس","24"
"280","پان٘ژ","24"
"281","کرم","24"
"282","شُروع","24"
"283","بی","24"
"284","ہری","24"
"285","کسی","24"
"286","مریض","24"
"287","گَھیں","24"
"288","بېں","24"
"289","کېں","24"
"290","مرض","24"
"291","سُوچ","24"
"292","زِبوں","23"
"293","السلام","23"
"294","کوستَیں","23"
"295","معنہ","23"
"296","سُگو","23"
"297","طاقت","23"
"298","وو","23"
"299","بھژدہ","23"
"300","وخت","23"
"301","کرِگ","23"
"302","خوش","23"
"303","حکم","23"
"304","علاوہ","22"
"305","سُگاؤ","22"
"306","ݜِݜہ","22"
"307","انساناں","22"
"308","مرضی","22"
"309","زات","22"
"310","واپس","22"
"311","اکثر","22"
"312","لَک","22"
"313","گئ","22"
"314","اُولی","22"
"315","خبر","22"
"316","ڇھاری","22"
"317","پتہۡ","22"
"318","گائ","22"
"319","چؤر","22"
"320","کمی","22"
"321","ہُوں","21"
"322","کل","21"
"323","کرچھی","21"
"324","ایل","21"
"325","خلک","21"
"326","سلام","21"
"327","زُمُک","21"
"328","کسیں","21"
"329","ژیب","21"
"330","تلاں","21"
"331","صرف","21"
"332","ݜلہ","21"
"333","څَیں","21"
"334","اْے","20"
"335","کیں","20"
"336","ݜَس","20"
"337","کیرُوں","20"
"338","کھؤں","20"
"339","سُون٘ݜ","20"
"340","رسول","20"
"341","کران٘لہ","20"
"342","بېل","20"
"343","رات","20"
"344","تپُوس","20"
"345","ول","20"
"346","گیل","20"
"347","شرط","20"
"348","کس","20"
"349","مُوٹُھو","20"
"350","مالاں","20"
"351","ایوں","19"
"352","زندگی","19"
"353","ﷺ","19"
"354","طریقہ","19"
"355","کِھیں","19"
"356","پاتیُوں","19"
"357","تَس","19"
"358","دڑی","19"
"359","کتاب","19"
"360","کریل","19"
"361","بغیر","19"
"362","اور","19"
"363","بیش","19"
"364","ککی","19"
"365","ماݜی","19"
"366","دېس","19"
"367","بُٹیۡ","19"
"368","تعلیماں","18"
"369","گھوں","18"
"370","جواب","18"
"371","کمؤں","18"
"372","حُکم","18"
"373","ݜېں","18"
"374","علاقہ","18"
"375","کرؤ","18"
"376","رن٘گاں","18"
"377","ژر","18"
"378","لر","18"
"379","دیوں","18"
"380","ہُون٘د","18"
"381","فَیدہ","18"
"382","سُوریۡ","18"
"383","قلم","18"
"384","ݜو","18"
"385","یادی","18"
"386","ہول","18"
"387","پن٘دہۡ","18"
"388","کِتاب","17"
"389","آن٘ڇھی","17"
"390","تُوں","17"
"391","السلامے","17"
"392","سلامے","17"
"393","کتُک","17"
"394","حقوں","17"
"395","رُشتا","17"
"396","پاکَیں","17"
"397","پن٘ڑہۡ","17"
"398","سبق","17"
"399","حصہ","17"
"400","ماݜہ","17"
"401","بنژا","17"
"402","بہ","17"
"403","پیݜی","17"
"404","مِثال","17"
"405","سامُوٹھ","17"
"406","چائ","17"
"407","شِدیۡ","17"
"408","ایلوۡ","17"
"409","څیزہۡ","17"
"410","بھاؤ","16"
"411","صاف","16"
"412","ابو","16"
"413","مطلب","16"
"414","بنَیں","16"
"415","مِل","16"
"416","خلکاں","16"
"417","اسمان","16"
"418","رسولؐ","16"
"419","انسانی","16"
"420","اےتھی","16"
"421","حل","16"
"422","معلوم","16"
"423","سامُوٹھیۡ","16"
"424","پویں","16"
"425","اُستا","16"
"426","اثر","16"
"427","بِس","16"
"428","آ","16"
"429","گھَیں","16"
"430","وئ","16"
"431","جُوڑ","16"
"432","خدائ","16"
"433","وَخ","16"
"434","مَیں","16"
"435","نھالہ","16"
"436","نظام","16"
"437","گھریں","16"
"438","نیڙ","16"
"439","حرام","16"
"440","ساریۡ","16"
"441","کَرٶں","16"
"442","ماسُم","15"
"443","تھے","15"
"444","مرگلئ","15"
"445","سات","15"
"446","الاقوامی","15"
"447","قانون","15"
"448","گھریۡماݜہ","15"
"449","منی","15"
"450","موجود","15"
"451","دیں","15"
"452","گھین٘رہ","15"
"453","زوڑہۡ","15"
"454","دُویُوں","15"
"455","نِوان٘زاں","15"
"456","اسم","15"
"457","وہ","15"
"458","واجب","15"
"459","دھان٘کہ","15"
"460","یعنی","15"
"461","عقل","15"
"462","دیسؤں","15"
"463","بنؤں","15"
"464","مُسلماں","15"
"465","تیار","15"
"466","چینی","15"
"467","ہوئیں","14"
"468","گِن","14"
"469","بنیادی","14"
"470","بانی","14"
"471","خوشال","14"
"472","دنہۡ","14"
"473","بَیل","14"
"474","شامل","14"
"475","پاتیُون","14"
"476","بین","14"
"477","نِکئ","14"
"478","دو","14"
"479","مدینہ","14"
"480","اہم","14"
"481","چېرہ","14"
"482","بنے","14"
"483","لس","14"
"484","محفوظ","14"
"485","پشی","14"
"486","تُھوۡ","14"
"487","نئ","14"
"488","گلہ","14"
"489","سجدہ","14"
"490","چھال","14"
"491","مختلف","14"
"492","کران٘لو","14"
"493","ݜسیں","14"
"494","گِران","14"
"495","مِشر","14"
"496","تېرئ","14"
"497","بیں","14"
"498","سُنّت","14"
"499","ݜیں","14"
"500","گھېں","14"
